geocodigoFundar,geonombreFundar,anio,pbi_per_capita_ppa
DESIGU_AML,América Latina,1950,3672.315179
DESIGU_AML,América Latina,1951,3772.801926
DESIGU_AML,América Latina,1952,3800.17532
DESIGU_AML,América Latina,1953,3852.79416
DESIGU_AML,América Latina,1954,3973.484863
DESIGU_AML,América Latina,1955,4134.268103
DESIGU_AML,América Latina,1956,4204.797653
DESIGU_AML,América Latina,1957,4367.497808
DESIGU_AML,América Latina,1958,4479.924469
DESIGU_AML,América Latina,1959,4475.510097
DESIGU_AML,América Latina,1960,4679.14984
DESIGU_AML,América Latina,1961,4834.636854
DESIGU_AML,América Latina,1962,4917.531308
DESIGU_AML,América Latina,1963,4935.56713
DESIGU_AML,América Latina,1964,5154.883889
DESIGU_AML,América Latina,1965,5274.964248
DESIGU_AML,América Latina,1966,5403.904393
DESIGU_AML,América Latina,1967,5492.97375
DESIGU_AML,América Latina,1968,5678.48424
DESIGU_AML,América Latina,1969,5905.88959
DESIGU_AML,América Latina,1970,6168.868992
DESIGU_AML,América Latina,1971,6395.182604
DESIGU_AML,América Latina,1972,6660.475737
DESIGU_AML,América Latina,1973,7037.970048
DESIGU_AML,América Latina,1974,7302.427164
DESIGU_AML,América Latina,1975,7376.859779
DESIGU_AML,América Latina,1976,7622.338563
DESIGU_AML,América Latina,1977,7803.54947
DESIGU_AML,América Latina,1978,7960.535863
DESIGU_AML,América Latina,1979,8278.579397
DESIGU_AML,América Latina,1980,8578.150967
DESIGU_AML,América Latina,1981,8437.760454
DESIGU_AML,América Latina,1982,8189.003675
DESIGU_AML,América Latina,1983,7825.186595
DESIGU_AML,América Latina,1984,7947.50886
DESIGU_AML,América Latina,1985,8009.498756
DESIGU_AML,América Latina,1986,8181.357326
DESIGU_AML,América Latina,1987,8276.357494
DESIGU_AML,América Latina,1988,8198.566531
DESIGU_AML,América Latina,1989,8140.234656
DESIGU_AML,América Latina,1990,8036.102289
DESIGU_AML,América Latina,1991,8247.333804
DESIGU_AML,América Latina,1992,8430.160778
DESIGU_AML,América Latina,1993,8660.959203
DESIGU_AML,América Latina,1994,8983.351002
DESIGU_AML,América Latina,1995,9019.679499
DESIGU_AML,América Latina,1996,9249.390284
DESIGU_AML,América Latina,1997,9659.007172
DESIGU_AML,América Latina,1998,9806.145954
DESIGU_AML,América Latina,1999,9756.354925
DESIGU_AML,América Latina,2000,10073.52521
DESIGU_AML,América Latina,2001,10098.85071
DESIGU_AML,América Latina,2002,10081.78717
DESIGU_AML,América Latina,2003,10218.64728
DESIGU_AML,América Latina,2004,10785.46292
DESIGU_AML,América Latina,2005,11216.36171
DESIGU_AML,América Latina,2006,11784.25276
DESIGU_AML,América Latina,2007,12408.50978
DESIGU_AML,América Latina,2008,12844.34269
DESIGU_AML,América Latina,2009,12558.57365
DESIGU_AML,América Latina,2010,13287.30123
DESIGU_AML,América Latina,2011,13857.39805
DESIGU_AML,América Latina,2012,14111.79067
DESIGU_AML,América Latina,2013,14512.06262
DESIGU_AML,América Latina,2014,14514.64888
DESIGU_AML,América Latina,2015,14773.16976
DESIGU_AML,América Latina,2016,13948.43309
DESIGU_AML,América Latina,2017,13964.69508
DESIGU_AML,América Latina,2018,13958.26629
DESIGU_AML,América Latina,2019,13818.84139
DESIGU_AML,América Latina,2020,12709.01208
DESIGU_AML,América Latina,2021,13510.50559
DESIGU_AML,América Latina,2022,13938.83449
ARG,Argentina,1950,7949.0
ARG,Argentina,1951,8086.0
ARG,Argentina,1952,7519.0
ARG,Argentina,1953,7769.0
ARG,Argentina,1954,7938.0
ARG,Argentina,1955,8348.0
ARG,Argentina,1956,8424.0
ARG,Argentina,1957,8705.0
ARG,Argentina,1958,9083.0
ARG,Argentina,1959,8354.0
ARG,Argentina,1960,8861.0
ARG,Argentina,1961,9344.0
ARG,Argentina,1962,9049.0
ARG,Argentina,1963,8695.0
ARG,Argentina,1964,9446.0
ARG,Argentina,1965,10155.0
ARG,Argentina,1966,10076.0
ARG,Argentina,1967,10200.0
ARG,Argentina,1968,10485.0
ARG,Argentina,1969,11217.0
ARG,Argentina,1970,11639.0
ARG,Argentina,1971,12003.0
ARG,Argentina,1972,12170.0
ARG,Argentina,1973,12691.0
ARG,Argentina,1974,13284.0
ARG,Argentina,1975,12946.0
ARG,Argentina,1976,12696.0
ARG,Argentina,1977,13236.0
ARG,Argentina,1978,12444.0
ARG,Argentina,1979,13114.0
ARG,Argentina,1980,13080.0
ARG,Argentina,1981,12125.0
ARG,Argentina,1982,11550.0
ARG,Argentina,1983,11775.0
ARG,Argentina,1984,11837.0
ARG,Argentina,1985,10895.0
ARG,Argentina,1986,11515.0
ARG,Argentina,1987,11633.0
ARG,Argentina,1988,11244.0
ARG,Argentina,1989,10393.0
ARG,Argentina,1990,10254.0
ARG,Argentina,1991,11223.98464
ARG,Argentina,1992,12267.08359
ARG,Argentina,1993,12926.79467
ARG,Argentina,1994,13571.37943
ARG,Argentina,1995,13086.03645
ARG,Argentina,1996,13715.22682
ARG,Argentina,1997,14722.64594
ARG,Argentina,1998,15185.95869
ARG,Argentina,1999,14577.83227
ARG,Argentina,2000,14368.94274
ARG,Argentina,2001,13651.98099
ARG,Argentina,2002,12094.77284
ARG,Argentina,2003,13088.56501
ARG,Argentina,2004,14183.22514
ARG,Argentina,2005,15344.15713
ARG,Argentina,2006,16490.47358
ARG,Argentina,2007,17891.94341
ARG,Argentina,2008,18520.30408
ARG,Argentina,2009,17328.97575
ARG,Argentina,2010,18979.9917
ARG,Argentina,2011,20003.0
ARG,Argentina,2012,19599.0
ARG,Argentina,2013,19873.0
ARG,Argentina,2014,19183.0
ARG,Argentina,2015,19502.0
ARG,Argentina,2016,18875.0
ARG,Argentina,2017,19200.90611
ARG,Argentina,2018,18556.38311
ARG,Argentina,2019,18005.33937
ARG,Argentina,2020,16062.10284
ARG,Argentina,2021,17607.56464
ARG,Argentina,2022,18297.28746
,,1950,1385.504522
,,1951,1372.046652
,,1952,1419.271443
,,1953,1656.254368
,,1954,1749.973084
,,1955,1801.844078
,,1956,1821.55024
,,1957,1896.840683
,,1958,1961.325145
,,1959,2030.3408
,,1960,2055.709103
,,1961,2122.818924
,,1962,2209.140543
,,1963,2362.196051
,,1964,2499.549483
,,1965,2669.324837
,,1966,2835.940432
,,1967,3009.090602
,,1968,3242.433789
,,1969,3573.040921
,,1970,3869.932994
,,1971,4202.663548
,,1972,4533.102654
,,1973,5053.846665
,,1974,5236.963873
,,1975,5428.287733
,,1976,6039.908144
,,1977,6602.036753
,,1978,7205.003147
,,1979,7715.789215
,,1980,7849.161467
,,1981,8287.294167
,,1982,8626.973354
,,1983,9381.472822
,,1984,10216.73747
,,1985,10642.90203
,,1986,11664.52263
,,1987,13103.93719
,,1988,14144.14663
,,1989,14954.01887
,,1990,15916.31076
,,1991,17061.70696
,,1992,17933.06548
,,1993,18881.66956
,,1994,20140.55167
,,1995,21317.8856
,,1996,22404.37122
,,1997,23402.86962
,,1998,22490.5618
,,1999,24104.33931
,,2000,25682.12403
,,2001,25879.38304
,,2002,27153.15703
,,2003,27777.13019
,,2004,29180.77073
,,2005,30371.24465
,,2006,31782.57648
,,2007,33408.08956
,,2008,33708.22545
,,2009,33245.15234
,,2010,35721.85282
,,2011,36759.42639
,,2012,37388.44675
,,2013,38295.18279
,,2014,39394.89745
,,2015,39986.43832
,,2016,40684.30759
,,2017,41880.78008
,,2018,42850.84842
,,2019,43538.23469
,,2020,43324.09179
,,2021,46071.45409
,,2022,47014.94325
