"anio","salario_real_base1970"
"1935","50.9449159995862"
"1936","49.8972119120642"
"1937","50.555982311511"
"1938","52.986513735268"
"1939","51.6928500754597"
"1940","51.4366022499859"
"1941","52.2049169335794"
"1942","52.2815486564575"
"1943","53.9431934750106"
"1944","59.8646761661954"
"1945","55.0467764978206"
"1946","61.213915591266"
"1947","74.0280045475607"
"1948","86.7941863322636"
"1949","86.4775884114149"
"1950","81.2354762152211"
"1951","76.7929361799036"
"1952","71.5207857694803"
"1953","76.3628535892629"
"1954","83.778090097042"
"1955","81.7907866675058"
"1956","87.6922320096913"
"1957","84.6954150085679"
"1958","92.6279265116946"
"1959","71.3678507943977"
"1960","72.6911210189148"
"1961","79.8325625421182"
"1962","79.5552926893925"
"1963","78.3499034064234"
"1964","86.6039336253067"
"1965","95.2002447664432"
"1966","95.6263680422816"
"1967","95.2509893489717"
"1968","91.3091266953725"
"1969","95.9955841471471"
"1970","100"
"1971","105.408966714779"
"1972","99.4741522510632"
"1973","114.640701174436"
"1974","132.166983431563"
"1975","129.528319264727"
"1976","81.4401686778935"
"1977","77.8810400208395"
"1978","78.8241244470908"
"1979","89.2891974246162"
"1980","101.453895254547"
"1981","91.6751862781086"
"1982","76.0322886490523"
"1983","100.805180015774"
"1984","113.282745665334"
"1985","97.0713687184948"
"1986","96.7983027748363"
"1987","91.7459894472856"
"1988","82.5341441757818"
"1989","65.3722146415282"
"1990","77.9527440546872"
"1991","79.829661056854"
"1992","82.8979950939099"
"1993","87.8769114475812"
"1994","85.6308446767622"
"1995","82.4565761082559"
"1996","79.3403811628514"
"1997","78.20610291806"
"1998","78.1422206294593"
"1999","78.8976328824735"
"2000","79.4266839754814"
"2001","80.7533023531995"
"2002","65.5222706342857"
"2003","63.6348673045693"
"2004","68.9246884684717"
"2005","75.2297856421141"
"2006","83.7953378637939"
"2007","86.7098331775809"
"2008","90.9024214655428"
"2009","96.0814080679358"
"2010","97.7606215660554"
"2011","105.612495750908"
"2012","109.668295333007"
"2013","111.212734093563"
"2014","107.27272374137"
"2015","114.38825385619"
"2016","108.555708261253"
"2017","110.626264035031"
"2018","103.534115365166"
"2019","95.0686667628533"
"2020","95.006174026376"
"2021","93.5271581314"
"2022","92.9665325086582"
"2023","92.3042584357153"
